timestamp,field,value
1759877101.6545784,time_usec,51163000
1759877101.6545784,fix_type,6
1759877101.6545784,lat,-353633245
1759877101.6545784,lon,1491652241
1759877101.6545784,alt,100
1759877101.6545784,eph,121
1759877101.6545784,epv,200
1759877101.6545784,vel,0
1759877101.6545784,cog,0
1759877101.6545784,satellites_visible,10
1759877101.6545784,alt_ellipsoid,100
1759877101.6545784,h_acc,300
1759877101.6545784,v_acc,300
1759877101.6545784,vel_acc,0
1759877101.6545784,hdg_acc,0
1759877101.6545784,yaw,0
1759877101.8527682,time_usec,51363000
1759877101.8527682,fix_type,6
1759877101.8527682,lat,-353633245
1759877101.8527682,lon,1491652241
1759877101.8527682,alt,100
1759877101.8527682,eph,121
1759877101.8527682,epv,200
1759877101.8527682,vel,0
1759877101.8527682,cog,0
1759877101.8527682,satellites_visible,10
1759877101.8527682,alt_ellipsoid,100
1759877101.8527682,h_acc,300
1759877101.8527682,v_acc,300
1759877101.8527682,vel_acc,0
1759877101.8527682,hdg_acc,0
1759877101.8527682,yaw,0
1759877102.0565195,time_usec,51563000
1759877102.0565195,fix_type,6
1759877102.0565195,lat,-353633245
1759877102.0565195,lon,1491652241
1759877102.0565195,alt,100
1759877102.0565195,eph,121
1759877102.0565195,epv,200
1759877102.0565195,vel,0
1759877102.0565195,cog,0
1759877102.0565195,satellites_visible,10
1759877102.0565195,alt_ellipsoid,100
1759877102.0565195,h_acc,300
1759877102.0565195,v_acc,300
1759877102.0565195,vel_acc,0
1759877102.0565195,hdg_acc,0
1759877102.0565195,yaw,0
1759877102.254855,time_usec,51763000
1759877102.254855,fix_type,6
1759877102.254855,lat,-353633245
1759877102.254855,lon,1491652241
1759877102.254855,alt,100
1759877102.254855,eph,121
1759877102.254855,epv,200
1759877102.254855,vel,0
1759877102.254855,cog,0
1759877102.254855,satellites_visible,10
1759877102.254855,alt_ellipsoid,100
1759877102.254855,h_acc,300
1759877102.254855,v_acc,300
1759877102.254855,vel_acc,0
1759877102.254855,hdg_acc,0
1759877102.254855,yaw,0
1759877102.4533033,time_usec,51963000
1759877102.4533033,fix_type,6
1759877102.4533033,lat,-353633245
1759877102.4533033,lon,1491652241
1759877102.4533033,alt,100
1759877102.4533033,eph,121
1759877102.4533033,epv,200
1759877102.4533033,vel,0
1759877102.4533033,cog,0
1759877102.4533033,satellites_visible,10
1759877102.4533033,alt_ellipsoid,100
1759877102.4533033,h_acc,300
1759877102.4533033,v_acc,300
1759877102.4533033,vel_acc,0
1759877102.4533033,hdg_acc,0
1759877102.4533033,yaw,0
1759877102.651716,time_usec,52163000
1759877102.651716,fix_type,6
1759877102.651716,lat,-353633245
1759877102.651716,lon,1491652241
1759877102.651716,alt,100
1759877102.651716,eph,121
1759877102.651716,epv,200
1759877102.651716,vel,0
1759877102.651716,cog,0
1759877102.651716,satellites_visible,10
1759877102.651716,alt_ellipsoid,100
1759877102.651716,h_acc,300
1759877102.651716,v_acc,300
1759877102.651716,vel_acc,0
1759877102.651716,hdg_acc,0
1759877102.651716,yaw,0
1759877102.8557448,time_usec,52363000
1759877102.8557448,fix_type,6
1759877102.8557448,lat,-353633245
1759877102.8557448,lon,1491652241
1759877102.8557448,alt,100
