timestamp,field,value
1759877101.654185,time_usec,51264486
1759877101.654185,xacc,0
1759877101.654185,yacc,0
1759877101.654185,zacc,-1001
1759877101.654185,xgyro,0
1759877101.654185,ygyro,0
1759877101.654185,zgyro,0
1759877101.654185,xmag,232
1759877101.654185,ymag,52
1759877101.654185,zmag,-528
1759877101.654185,id,0
1759877101.654185,temperature,2803
1759877101.852436,time_usec,51464406
1759877101.852436,xacc,0
1759877101.852436,yacc,0
1759877101.852436,zacc,-1001
1759877101.852436,xgyro,0
1759877101.852436,ygyro,0
1759877101.852436,zgyro,0
1759877101.852436,xmag,232
1759877101.852436,ymag,52
1759877101.852436,zmag,-528
1759877101.852436,id,0
1759877101.852436,temperature,2804
1759877102.0562105,time_usec,51664326
1759877102.0562105,xacc,0
1759877102.0562105,yacc,0
1759877102.0562105,zacc,-1001
1759877102.0562105,xgyro,0
1759877102.0562105,ygyro,0
1759877102.0562105,zgyro,0
1759877102.0562105,xmag,232
1759877102.0562105,ymag,52
1759877102.0562105,zmag,-528
1759877102.0562105,id,0
1759877102.0562105,temperature,2805
1759877102.2545538,time_usec,51864246
1759877102.2545538,xacc,0
1759877102.2545538,yacc,0
1759877102.2545538,zacc,-1001
1759877102.2545538,xgyro,0
1759877102.2545538,ygyro,0
1759877102.2545538,zgyro,0
1759877102.2545538,xmag,232
1759877102.2545538,ymag,52
1759877102.2545538,zmag,-528
1759877102.2545538,id,0
1759877102.2545538,temperature,2806
1759877102.4529798,time_usec,52064166
1759877102.4529798,xacc,0
1759877102.4529798,yacc,0
1759877102.4529798,zacc,-1001
1759877102.4529798,xgyro,0
1759877102.4529798,ygyro,0
1759877102.4529798,zgyro,0
1759877102.4529798,xmag,232
1759877102.4529798,ymag,52
1759877102.4529798,zmag,-528
1759877102.4529798,id,0
1759877102.4529798,temperature,2807
1759877102.651394,time_usec,52264086
1759877102.651394,xacc,0
1759877102.651394,yacc,0
1759877102.651394,zacc,-1001
1759877102.651394,xgyro,0
1759877102.651394,ygyro,0
1759877102.651394,zgyro,0
1759877102.651394,xmag,232
1759877102.651394,ymag,52
1759877102.651394,zmag,-528
1759877102.651394,id,0
1759877102.651394,temperature,2809
1759877102.855417,time_usec,52464839
1759877102.855417,xacc,0
1759877102.855417,yacc,0
1759877102.855417,zacc,-1001
1759877102.855417,xgyro,0
1759877102.855417,ygyro,0
1759877102.855417,zgyro,0
1759877102.855417,xmag,232
1759877102.855417,ymag,52
1759877102.855417,zmag,-528
1759877102.855417,id,0
1759877102.855417,temperature,2810
1759877103.0535955,time_usec,52664759
1759877103.0535955,xacc,0
1759877103.0535955,yacc,0
1759877103.0535955,zacc,-1001
1759877103.0535955,xgyro,0
1759877103.0535955,ygyro,0
1759877103.0535955,zgyro,0
1759877103.0535955,xmag,232
1759877103.0535955,ymag,52
1759877103.0535955,zmag,-528
1759877103.0535955,id,0
1759877103.0535955,temperature,2811
1759877103.2519104,time_usec,52864679
1759877103.2519104,xacc,0
1759877103.2519104,yacc,0
1759877103.2519104,zacc,-1001
1759877103.2519104,xgyro,0
1759877103.2519104,ygyro,0
1759877103.2519104,zgyro,0
1759877103.2519104,xmag,232
1759877103.2519104,ymag,52
1759877103.2519104,zmag,-528
1759877103.2519104,id,0
1759877103.2519104,temperature,2812
1759877103.455911,time_usec,53064599
1759877103.455911,xacc,0
1759877103.455911,yacc,0
1759877103.455911,zacc,-1001
1759877103.455911,xgyro,0
1759877103.455911,ygyro,0
1759877103.455911,zgyro,0
1759877103.455911,xmag,232
1759877103.455911,ymag,52
1759877103.455911,zmag,-528
1759877103.455911,id,0
1759877103.455911,temperature,2813
1759877103.6543312,time_usec,53264519
1759877103.6543312,xacc,0
1759877103.6543312,yacc,0
1759877103.6543312,zacc,-1001
1759877103.6543312,xgyro,0
1759877103.6543312,ygyro,0
1759877103.6543312,zgyro,0
1759877103.6543312,xmag,232
1759877103.6543312,ymag,52
1759877103.6543312,zmag,-528
1759877103.6543312,id,0
1759877103.6543312,temperature,2814
1759877103.852641,time_usec,53464439
1759877103.852641,xacc,0
1759877103.852641,yacc,0
1759877103.852641,zacc,-1001
1759877103.852641,xgyro,0
1759877103.852641,ygyro,0
1759877103.852641,zgyro,0
1759877103.852641,xmag,232
1759877103.852641,ymag,52
1759877103.852641,zmag,-528
1759877103.852641,id,0
1759877103.852641,temperature,2815
1759877104.0563965,time_usec,53664359
1759877104.0563965,xacc,0
1759877104.0563965,yacc,0
1759877104.0563965,zacc,-1001
1759877104.0563965,xgyro,0
1759877104.0563965,ygyro,0
1759877104.0563965,zgyro,0
1759877104.0563965,xmag,232
1759877104.0563965,ymag,52
1759877104.0563965,zmag,-528
1759877104.0563965,id,0
1759877104.0563965,temperature,2816
1759877104.2549257,time_usec,53864279
1759877104.2549257,xacc,0
1759877104.2549257,yacc,0
1759877104.2549257,zacc,-1001
1759877104.2549257,xgyro,0
1759877104.2549257,ygyro,0
1759877104.2549257,zgyro,0
1759877104.2549257,xmag,232
1759877104.2549257,ymag,52
1759877104.2549257,zmag,-528
1759877104.2549257,id,0
1759877104.2549257,temperature,2818
1759877104.4531624,time_usec,54064199
1759877104.4531624,xacc,0
1759877104.4531624,yacc,0
1759877104.4531624,zacc,-1001
1759877104.4531624,xgyro,0
1759877104.4531624,ygyro,0
1759877104.4531624,zgyro,0
