timestamp,field,value
1759877101.6544127,time_boot_ms,51264
1759877101.6544127,press_abs,1013.2384033203125
1759877101.6544127,press_diff,0.0
1759877101.6544127,temperature,3318
1759877101.6544127,temperature_press_diff,0
1759877101.8526359,time_boot_ms,51464
1759877101.8526359,press_abs,1013.2384033203125
1759877101.8526359,press_diff,0.0
1759877101.8526359,temperature,3319
1759877101.8526359,temperature_press_diff,0
1759877102.0563953,time_boot_ms,51664
1759877102.0563953,press_abs,1013.2384033203125
1759877102.0563953,press_diff,0.0
1759877102.0563953,temperature,3321
1759877102.0563953,temperature_press_diff,0
1759877102.2547321,time_boot_ms,51864
1759877102.2547321,press_abs,1013.2384033203125
1759877102.2547321,press_diff,0.0
1759877102.2547321,temperature,3322
1759877102.2547321,temperature_press_diff,0
1759877102.4531748,time_boot_ms,52064
1759877102.4531748,press_abs,1013.2384033203125
1759877102.4531748,press_diff,0.0
1759877102.4531748,temperature,3323
1759877102.4531748,temperature_press_diff,0
1759877102.6515882,time_boot_ms,52264
1759877102.6515882,press_abs,1013.2384033203125
1759877102.6515882,press_diff,0.0
1759877102.6515882,temperature,3324
1759877102.6515882,temperature_press_diff,0
1759877102.8556182,time_boot_ms,52464
1759877102.8556182,press_abs,1013.2384033203125
1759877102.8556182,press_diff,0.0
1759877102.8556182,temperature,3325
1759877102.8556182,temperature_press_diff,0
1759877103.0537758,time_boot_ms,52664
1759877103.0537758,press_abs,1013.2384033203125
1759877103.0537758,press_diff,0.0
1759877103.0537758,temperature,3326
1759877103.0537758,temperature_press_diff,0
1759877103.2521026,time_boot_ms,52864
1759877103.2521026,press_abs,1013.2384033203125
1759877103.2521026,press_diff,0.0
1759877103.2521026,temperature,3328
1759877103.2521026,temperature_press_diff,0
1759877103.456093,time_boot_ms,53064
1759877103.456093,press_abs,1013.2384033203125
1759877103.456093,press_diff,0.0
1759877103.456093,temperature,3329
1759877103.456093,temperature_press_diff,0
1759877103.6545238,time_boot_ms,53264
1759877103.6545238,press_abs,1013.2384033203125
1759877103.6545238,press_diff,0.0
1759877103.6545238,temperature,3330
1759877103.6545238,temperature_press_diff,0
1759877103.8528535,time_boot_ms,53464
1759877103.8528535,press_abs,1013.2384033203125
1759877103.8528535,press_diff,0.0
1759877103.8528535,temperature,3331
1759877103.8528535,temperature_press_diff,0
1759877104.0565522,time_boot_ms,53664
1759877104.0565522,press_abs,1013.2384033203125
1759877104.0565522,press_diff,0.0
1759877104.0565522,temperature,3332
1759877104.0565522,temperature_press_diff,0
1759877104.2550983,time_boot_ms,53864
1759877104.2550983,press_abs,1013.2384033203125
1759877104.2550983,press_diff,0.0
1759877104.2550983,temperature,3333
1759877104.2550983,temperature_press_diff,0
1759877104.4533653,time_boot_ms,54064
1759877104.4533653,press_abs,1013.2384033203125
1759877104.4533653,press_diff,0.0
1759877104.4533653,temperature,3334
1759877104.4533653,temperature_press_diff,0
1759877104.65175,time_boot_ms,54264
1759877104.65175,press_abs,1013.2384033203125
1759877104.65175,press_diff,0.0
1759877104.65175,temperature,3335
1759877104.65175,temperature_press_diff,0
1759877104.855778,time_boot_ms,54464
1759877104.855778,press_abs,1013.2384033203125
1759877104.855778,press_diff,0.0
1759877104.855778,temperature,3337
1759877104.855778,temperature_press_diff,0
1759877105.0541167,time_boot_ms,54664
1759877105.0541167,press_abs,1013.2384033203125
1759877105.0541167,press_diff,0.0
1759877105.0541167,temperature,3338
1759877105.0541167,temperature_press_diff,0
1759877105.2523663,time_boot_ms,54864
1759877105.2523663,press_abs,1013.2384033203125
1759877105.2523663,press_diff,0.0
1759877105.2523663,temperature,3339
1759877105.2523663,temperature_press_diff,0
1759877105.4562726,time_boot_ms,55064
1759877105.4562726,press_abs,1013.2384033203125
1759877105.4562726,press_diff,0.0
1759877105.4562726,temperature,3340
1759877105.4562726,temperature_press_diff,0
1759877105.654613,time_boot_ms,55264
1759877105.654613,press_abs,1013.2384033203125
1759877105.654613,press_diff,0.0
1759877105.654613,temperature,3341
1759877105.654613,temperature_press_diff,0
1759877105.8531096,time_boot_ms,55464
1759877105.8531096,press_abs,1013.2384033203125
1759877105.8531096,press_diff,0.0
1759877105.8531096,temperature,3342
1759877105.8531096,temperature_press_diff,0
1759877106.056942,time_boot_ms,55664
1759877106.056942,press_abs,1013.2384033203125
1759877106.056942,press_diff,0.0
1759877106.056942,temperature,3343
1759877106.056942,temperature_press_diff,0
1759877106.2553098,time_boot_ms,55864
1759877106.2553098,press_abs,1013.2384033203125
1759877106.2553098,press_diff,0.0
1759877106.2553098,temperature,3344
1759877106.2553098,temperature_press_diff,0
1759877106.4535453,time_boot_ms,56064
1759877106.4535453,press_abs,1013.2384033203125
1759877106.4535453,press_diff,0.0
1759877106.4535453,temperature,3345
1759877106.4535453,temperature_press_diff,0
1759877106.6519222,time_boot_ms,56264
1759877106.6519222,press_abs,1013.2384033203125
1759877106.6519222,press_diff,0.0
1759877106.6519222,temperature,3346
1759877106.6519222,temperature_press_diff,0
1759877106.8557482,time_boot_ms,56464
1759877106.8557482,press_abs,1013.2384033203125
1759877106.8557482,press_diff,0.0
1759877106.8557482,temperature,3347
1759877106.8557482,temperature_press_diff,0
1759877107.054279,time_boot_ms,56664
1759877107.054279,press_abs,1013.2384033203125
1759877107.054279,press_diff,0.0
1759877107.054279,temperature,3348
1759877107.054279,temperature_press_diff,0
1759877107.2524245,time_boot_ms,56864
1759877107.2524245,press_abs,1013.2384033203125
1759877107.2524245,press_diff,0.0
1759877107.2524245,temperature,3349
1759877107.2524245,temperature_press_diff,0
1759877107.4565158,time_boot_ms,57064
1759877107.4565158,press_abs,1013.2384033203125
1759877107.4565158,press_diff,0.0
1759877107.4565158,temperature,3350
1759877107.4565158,temperature_press_diff,0
1759877107.6548514,time_boot_ms,57264
1759877107.6548514,press_abs,1013.2384033203125
1759877107.6548514,press_diff,0.0
1759877107.6548514,temperature,3351
1759877107.6548514,temperature_press_diff,0
1759877107.8530607,time_boot_ms,57464
1759877107.8530607,press_abs,1013.2384033203125
1759877107.8530607,press_diff,0.0
1759877107.8530607,temperature,3352
1759877107.8530607,temperature_press_diff,0
1759877108.0569334,time_boot_ms,57664
1759877108.0569334,press_abs,1013.2384033203125
1759877108.0569334,press_diff,0.0
1759877108.0569334,temperature,3353
1759877108.0569334,temperature_press_diff,0
1759877108.255612,time_boot_ms,57864
1759877108.255612,press_abs,1013.2384033203125
1759877108.255612,press_diff,0.0
1759877108.255612,temperature,3354
1759877108.255612,temperature_press_diff,0
1759877108.4539397,time_boot_ms,58064
1759877108.4539397,press_abs,1013.2384033203125
1759877108.4539397,press_diff,0.0
1759877108.4539397,temperature,3355
1759877108.4539397,temperature_press_diff,0
1759877108.65205,time_boot_ms,58264
1759877108.65205,press_abs,1013.2384033203125
1759877108.65205,press_diff,0.0
1759877108.65205,temperature,3356
1759877108.65205,temperature_press_diff,0
1759877108.8562026,time_boot_ms,58464
1759877108.8562026,press_abs,1013.2384033203125
1759877108.8562026,press_diff,0.0
1759877108.8562026,temperature,3357
1759877108.8562026,temperature_press_diff,0
1759877109.054331,time_boot_ms,58664
1759877109.054331,press_abs,1013.2384033203125
1759877109.054331,press_diff,0.0
1759877109.054331,temperature,3358
1759877109.054331,temperature_press_diff,0
1759877109.2526143,time_boot_ms,58864
1759877109.2526143,press_abs,1013.2384033203125
1759877109.2526143,press_diff,0.0
1759877109.2526143,temperature,3359
1759877109.2526143,temperature_press_diff,0
1759877109.456602,time_boot_ms,59064
1759877109.456602,press_abs,1013.2384033203125
1759877109.456602,press_diff,0.0
1759877109.456602,temperature,3360
1759877109.456602,temperature_press_diff,0
1759877109.654911,time_boot_ms,59264
1759877109.654911,press_abs,1013.2384033203125
1759877109.654911,press_diff,0.0
1759877109.654911,temperature,3361
1759877109.654911,temperature_press_diff,0
1759877109.8532486,time_boot_ms,59464
1759877109.8532486,press_abs,1013.2384033203125
1759877109.8532486,press_diff,0.0
1759877109.8532486,temperature,3362
1759877109.8532486,temperature_press_diff,0
1759877110.0573332,time_boot_ms,59664
1759877110.0573332,press_abs,1013.2384033203125
1759877110.0573332,press_diff,0.0
1759877110.0573332,temperature,3362
1759877110.0573332,temperature_press_diff,0
1759877110.2555618,time_boot_ms,59864
1759877110.2555618,press_abs,1013.2384033203125
1759877110.2555618,press_diff,0.0
1759877110.2555618,temperature,3363
1759877110.2555618,temperature_press_diff,0
1759877110.4538865,time_boot_ms,60064
1759877110.4538865,press_abs,1013.2384033203125
1759877110.4538865,press_diff,0.0
1759877110.4538865,temperature,3364
1759877110.4538865,temperature_press_diff,0
1759877110.6522126,time_boot_ms,60264
1759877110.6522126,press_abs,1013.2384033203125
1759877110.6522126,press_diff,0.0
1759877110.6522126,temperature,3365
1759877110.6522126,temperature_press_diff,0
1759877110.856255,time_boot_ms,60464
1759877110.856255,press_abs,1013.2384033203125
1759877110.856255,press_diff,0.0
1759877110.856255,temperature,3366
1759877110.856255,temperature_press_diff,0
1759877111.0544815,time_boot_ms,60664
1759877111.0544815,press_abs,1013.2384033203125
1759877111.0544815,press_diff,0.0
1759877111.0544815,temperature,3367
1759877111.0544815,temperature_press_diff,0
1759877111.2528267,time_boot_ms,60864
1759877111.2528267,press_abs,1013.2384033203125
1759877111.2528267,press_diff,0.0
1759877111.2528267,temperature,3368
1759877111.2528267,temperature_press_diff,0
1759877111.4568312,time_boot_ms,61064
1759877111.4568312,press_abs,1013.2384033203125
1759877111.4568312,press_diff,0.0
1759877111.4568312,temperature,3369
1759877111.4568312,temperature_press_diff,0
1759877111.6551402,time_boot_ms,61264
1759877111.6551402,press_abs,1013.2384033203125
1759877111.6551402,press_diff,0.0
1759877111.6551402,temperature,3370
1759877111.6551402,temperature_press_diff,0
1759877111.853448,time_boot_ms,61464
1759877111.853448,press_abs,1013.2384033203125
1759877111.853448,press_diff,0.0
1759877111.853448,temperature,3370
1759877111.853448,temperature_press_diff,0
1759877112.0573852,time_boot_ms,61664
1759877112.0573852,press_abs,1013.2384033203125
1759877112.0573852,press_diff,0.0
1759877112.0573852,temperature,3371
1759877112.0573852,temperature_press_diff,0
1759877112.2557888,time_boot_ms,61864
1759877112.2557888,press_abs,1013.2384033203125
1759877112.2557888,press_diff,0.0
1759877112.2557888,temperature,3372
1759877112.2557888,temperature_press_diff,0
1759877112.454103,time_boot_ms,62064
1759877112.454103,press_abs,1013.2384033203125
1759877112.454103,press_diff,0.0
1759877112.454103,temperature,3373
1759877112.454103,temperature_press_diff,0
1759877112.652474,time_boot_ms,62264
1759877112.652474,press_abs,1013.2384033203125
1759877112.652474,press_diff,0.0
1759877112.652474,temperature,3374
1759877112.652474,temperature_press_diff,0
1759877112.8564594,time_boot_ms,62464
1759877112.8564594,press_abs,1013.2384033203125
1759877112.8564594,press_diff,0.0
1759877112.8564594,temperature,3375
1759877112.8564594,temperature_press_diff,0
1759877113.0547771,time_boot_ms,62664
1759877113.0547771,press_abs,1013.2384033203125
1759877113.0547771,press_diff,0.0
1759877113.0547771,temperature,3375
1759877113.0547771,temperature_press_diff,0
1759877113.2531316,time_boot_ms,62864
1759877113.2531316,press_abs,1013.2384033203125
1759877113.2531316,press_diff,0.0
1759877113.2531316,temperature,3376
1759877113.2531316,temperature_press_diff,0
1759877113.4571166,time_boot_ms,63064
1759877113.4571166,press_abs,1013.2384033203125
1759877113.4571166,press_diff,0.0
1759877113.4571166,temperature,3377
1759877113.4571166,temperature_press_diff,0
1759877113.6554306,time_boot_ms,63264
1759877113.6554306,press_abs,1013.2384033203125
1759877113.6554306,press_diff,0.0
1759877113.6554306,temperature,3378
1759877113.6554306,temperature_press_diff,0
1759877113.85375,time_boot_ms,63464
1759877113.85375,press_abs,1013.2384033203125
1759877113.85375,press_diff,0.0
1759877113.85375,temperature,3379
1759877113.85375,temperature_press_diff,0
1759877114.0576808,time_boot_ms,63664
1759877114.0576808,press_abs,1013.2384033203125
1759877114.0576808,press_diff,0.0
1759877114.0576808,temperature,3380
1759877114.0576808,temperature_press_diff,0
1759877114.256066,time_boot_ms,63864
1759877114.256066,press_abs,1013.2384033203125
1759877114.256066,press_diff,0.0
1759877114.256066,temperature,3380
1759877114.256066,temperature_press_diff,0
1759877114.454417,time_boot_ms,64064
1759877114.454417,press_abs,1013.2384033203125
1759877114.454417,press_diff,0.0
1759877114.454417,temperature,3381
1759877114.454417,temperature_press_diff,0
1759877114.65271,time_boot_ms,64264
1759877114.65271,press_abs,1013.2384033203125
1759877114.65271,press_diff,0.0
1759877114.65271,temperature,3382
1759877114.65271,temperature_press_diff,0
1759877114.8566942,time_boot_ms,64464
1759877114.8566942,press_abs,1013.2384033203125
1759877114.8566942,press_diff,0.0
1759877114.8566942,temperature,3383
1759877114.8566942,temperature_press_diff,0
1759877115.0550337,time_boot_ms,64664
1759877115.0550337,press_abs,1013.2384033203125
1759877115.0550337,press_diff,0.0
1759877115.0550337,temperature,3383
1759877115.0550337,temperature_press_diff,0
1759877115.253352,time_boot_ms,64864
1759877115.253352,press_abs,1013.2384033203125
1759877115.253352,press_diff,0.0
1759877115.253352,temperature,3384
1759877115.253352,temperature_press_diff,0
1759877115.4574044,time_boot_ms,65064
1759877115.4574044,press_abs,1013.2384033203125
1759877115.4574044,press_diff,0.0
1759877115.4574044,temperature,3385
1759877115.4574044,temperature_press_diff,0
1759877115.6556683,time_boot_ms,65264
1759877115.6556683,press_abs,1013.2384033203125
1759877115.6556683,press_diff,0.0
1759877115.6556683,temperature,3386
1759877115.6556683,temperature_press_diff,0
1759877115.8542705,time_boot_ms,65464
1759877115.8542705,press_abs,1013.2384033203125
1759877115.8542705,press_diff,0.0
1759877115.8542705,temperature,3387
1759877115.8542705,temperature_press_diff,0
1759877116.0580661,time_boot_ms,65664
1759877116.0580661,press_abs,1013.2384033203125
1759877116.0580661,press_diff,0.0
1759877116.0580661,temperature,3387
1759877116.0580661,temperature_press_diff,0
1759877116.2562964,time_boot_ms,65864
1759877116.2562964,press_abs,1013.2384033203125
1759877116.2562964,press_diff,0.0
1759877116.2562964,temperature,3388
1759877116.2562964,temperature_press_diff,0
1759877116.4548,time_boot_ms,66064
1759877116.4548,press_abs,1013.2384033203125
1759877116.4548,press_diff,0.0
1759877116.4548,temperature,3389
1759877116.4548,temperature_press_diff,0
1759877116.6529248,time_boot_ms,66264
1759877116.6529248,press_abs,1013.2384033203125
1759877116.6529248,press_diff,0.0
1759877116.6529248,temperature,3389
1759877116.6529248,temperature_press_diff,0
1759877116.856869,time_boot_ms,66464
1759877116.856869,press_abs,1013.2384033203125
1759877116.856869,press_diff,0.0
1759877116.856869,temperature,3390
1759877116.856869,temperature_press_diff,0
1759877117.0551932,time_boot_ms,66664
1759877117.0551932,press_abs,1013.2384033203125
1759877117.0551932,press_diff,0.0
1759877117.0551932,temperature,3391
1759877117.0551932,temperature_press_diff,0
1759877117.253525,time_boot_ms,66864
1759877117.253525,press_abs,1013.2384033203125
1759877117.253525,press_diff,0.0
1759877117.253525,temperature,3392
1759877117.253525,temperature_press_diff,0
1759877117.4575386,time_boot_ms,67064
1759877117.4575386,press_abs,1013.2384033203125
1759877117.4575386,press_diff,0.0
1759877117.4575386,temperature,3392
1759877117.4575386,temperature_press_diff,0
1759877117.6558464,time_boot_ms,67264
1759877117.6558464,press_abs,1013.2384033203125
1759877117.6558464,press_diff,0.0
1759877117.6558464,temperature,3393
1759877117.6558464,temperature_press_diff,0
1759877117.854169,time_boot_ms,67464
1759877117.854169,press_abs,1013.2384033203125
1759877117.854169,press_diff,0.0
1759877117.854169,temperature,3394
1759877117.854169,temperature_press_diff,0
1759877118.0581796,time_boot_ms,67664
1759877118.0581796,press_abs,1013.2384033203125
1759877118.0581796,press_diff,0.0
1759877118.0581796,temperature,3394
1759877118.0581796,temperature_press_diff,0
1759877118.2564669,time_boot_ms,67864
1759877118.2564669,press_abs,1013.2384033203125
1759877118.2564669,press_diff,0.0
1759877118.2564669,temperature,3395
1759877118.2564669,temperature_press_diff,0
1759877118.454798,time_boot_ms,68064
1759877118.454798,press_abs,1013.2384033203125
1759877118.454798,press_diff,0.0
1759877118.454798,temperature,3396
1759877118.454798,temperature_press_diff,0
1759877118.6531098,time_boot_ms,68264
1759877118.6531098,press_abs,1013.2384033203125
1759877118.6531098,press_diff,0.0
1759877118.6531098,temperature,3397
1759877118.6531098,temperature_press_diff,0
1759877118.8571997,time_boot_ms,68464
1759877118.8571997,press_abs,1013.2384033203125
1759877118.8571997,press_diff,0.0
1759877118.8571997,temperature,3397
1759877118.8571997,temperature_press_diff,0
1759877119.0555038,time_boot_ms,68664
1759877119.0555038,press_abs,1013.2384033203125
1759877119.0555038,press_diff,0.0
1759877119.0555038,temperature,3398
1759877119.0555038,temperature_press_diff,0
1759877119.2539601,time_boot_ms,68864
1759877119.2539601,press_abs,1013.2384033203125
1759877119.2539601,press_diff,0.0
1759877119.2539601,temperature,3399
1759877119.2539601,temperature_press_diff,0
1759877119.4577148,time_boot_ms,69064
1759877119.4577148,press_abs,1013.2384033203125
1759877119.4577148,press_diff,0.0
1759877119.4577148,temperature,3399
1759877119.4577148,temperature_press_diff,0
1759877119.656125,time_boot_ms,69264
1759877119.656125,press_abs,1013.2384033203125
1759877119.656125,press_diff,0.0
1759877119.656125,temperature,3400
1759877119.656125,temperature_press_diff,0
1759877119.8544424,time_boot_ms,69464
1759877119.8544424,press_abs,1013.2384033203125
1759877119.8544424,press_diff,0.0
1759877119.8544424,temperature,3401
1759877119.8544424,temperature_press_diff,0
1759877120.0584185,time_boot_ms,69664
1759877120.0584185,press_abs,1013.2384033203125
1759877120.0584185,press_diff,0.0
1759877120.0584185,temperature,3401
1759877120.0584185,temperature_press_diff,0
1759877120.2569273,time_boot_ms,69864
1759877120.2569273,press_abs,1013.2384033203125
1759877120.2569273,press_diff,0.0
1759877120.2569273,temperature,3402
1759877120.2569273,temperature_press_diff,0
1759877120.4552321,time_boot_ms,70064
1759877120.4552321,press_abs,1013.2384033203125
1759877120.4552321,press_diff,0.0
1759877120.4552321,temperature,3403
1759877120.4552321,temperature_press_diff,0
1759877120.6535392,time_boot_ms,70264
1759877120.6535392,press_abs,1013.2384033203125
1759877120.6535392,press_diff,0.0
1759877120.6535392,temperature,3403
1759877120.6535392,temperature_press_diff,0
1759877120.857537,time_boot_ms,70464
1759877120.857537,press_abs,1013.2384033203125
1759877120.857537,press_diff,0.0
1759877120.857537,temperature,3404
1759877120.857537,temperature_press_diff,0
1759877121.0556688,time_boot_ms,70664
1759877121.0556688,press_abs,1013.2384033203125
1759877121.0556688,press_diff,0.0
1759877121.0556688,temperature,3404
1759877121.0556688,temperature_press_diff,0
1759877121.2540245,time_boot_ms,70864
1759877121.2540245,press_abs,1013.2384033203125
1759877121.2540245,press_diff,0.0
1759877121.2540245,temperature,3405
1759877121.2540245,temperature_press_diff,0
1759877121.457871,time_boot_ms,71064
1759877121.457871,press_abs,1013.2384033203125
1759877121.457871,press_diff,0.0
1759877121.457871,temperature,3406
1759877121.457871,temperature_press_diff,0
1759877121.6564462,time_boot_ms,71264
1759877121.6564462,press_abs,1013.2384033203125
1759877121.6564462,press_diff,0.0
1759877121.6564462,temperature,3406
1759877121.6564462,temperature_press_diff,0
1759877121.8547702,time_boot_ms,71464
1759877121.8547702,press_abs,1013.2384033203125
1759877121.8547702,press_diff,0.0
1759877121.8547702,temperature,3407
1759877121.8547702,temperature_press_diff,0
1759877122.0586853,time_boot_ms,71664
1759877122.0586853,press_abs,1013.2384033203125
1759877122.0586853,press_diff,0.0
1759877122.0586853,temperature,3408
1759877122.0586853,temperature_press_diff,0
1759877122.2570963,time_boot_ms,71864
1759877122.2570963,press_abs,1013.2384033203125
1759877122.2570963,press_diff,0.0
1759877122.2570963,temperature,3408
1759877122.2570963,temperature_press_diff,0
1759877122.4555988,time_boot_ms,72064
1759877122.4555988,press_abs,1013.2384033203125
1759877122.4555988,press_diff,0.0
1759877122.4555988,temperature,3409
1759877122.4555988,temperature_press_diff,0
1759877122.6537151,time_boot_ms,72264
1759877122.6537151,press_abs,1013.2384033203125
1759877122.6537151,press_diff,0.0
1759877122.6537151,temperature,3409
1759877122.6537151,temperature_press_diff,0
1759877122.8578045,time_boot_ms,72464
1759877122.8578045,press_abs,1013.2384033203125
1759877122.8578045,press_diff,0.0
1759877122.8578045,temperature,3410
1759877122.8578045,temperature_press_diff,0
1759877123.056095,time_boot_ms,72664
1759877123.056095,press_abs,1013.2384033203125
1759877123.056095,press_diff,0.0
1759877123.056095,temperature,3411
1759877123.056095,temperature_press_diff,0
1759877123.254175,time_boot_ms,72864
1759877123.254175,press_abs,1013.2384033203125
1759877123.254175,press_diff,0.0
1759877123.254175,temperature,3411
1759877123.254175,temperature_press_diff,0
1759877123.4580808,time_boot_ms,73064
1759877123.4580808,press_abs,1013.2384033203125
1759877123.4580808,press_diff,0.0
1759877123.4580808,temperature,3412
1759877123.4580808,temperature_press_diff,0
1759877123.6565049,time_boot_ms,73264
1759877123.6565049,press_abs,1013.2384033203125
1759877123.6565049,press_diff,0.0
1759877123.6565049,temperature,3412
1759877123.6565049,temperature_press_diff,0
1759877123.855126,time_boot_ms,73464
1759877123.855126,press_abs,1013.2384033203125
1759877123.855126,press_diff,0.0
1759877123.855126,temperature,3413
1759877123.855126,temperature_press_diff,0
1759877124.0589535,time_boot_ms,73664
